Status,Seq,URL,SKU,Product Code,IsBundle,User-pc count,SKU Type,Page to Land,Site Code,Site Language,Sku Language,Country Code,Language Code,Currency Code,Price,,,org,Channel,Promotion (Flex),Segment,Keyword Category,Email Program,Affiliate Sub Channel,Period (Time),Is Upgrade,PL Code,tppc,Batch Name,sku lang priority,Valid From,Valid To,Phased Out,Source,Vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Live,2012110069,http://buy.norton.com/partneroffer?ctry=FR&lang=FR&selSKU=21276154&tppc=6E4B2B64-D72B-31F7-B75C-8D4591DD2B25&ptype=cart,21276154,N360_2013_12MO_PC,N,1-3,Product,cart,FR_SITE,French,FR,FR,fr,EUR,39.99,N360_2013_12MO_PC1-3cartFR_SITEFrenchEUR39.99_PCCU_ASK,N360_2013_12MO_PC1-3cartFR_SITEFrenchEUR39.99,EMKTG,Partner/LOEM,50%,ALL,ALL,ALL,ALL,ALL,N,ECOM_MKT_50PCTOFF,6E4B2B64-D72B-31F7-B75C-8D4591DD2B25,SPARK-9647,1,,,,N360_2013_12MO_PC1-3cartFR_SITEFrenchEUR39.99,_PCCU_ASK,http://buy.norton.com/partneroffer?ctry=FR&lang=FR&selSKU=21276154&tppc=6E4B2B64-D72B-31F7-B75C-8D4591DD2B25&ptype=cart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Live,2012110069,http://buy.norton.com/partneroffer?ctry=LU&lang=FR&selSKU=21276154&tppc=6E4B2B64-D72B-31F7-B75C-8D4591DD2B25&ptype=cart,21276154,N360_2013_12MO_PC,N,1-3,Product,cart,FR_SITE,French,FR,LU,fr,EUR,39.99,N360_2013_12MO_PC1-3cartFR_SITEFrenchEUR39.99_PCCU_ASK,N360_2013_12MO_PC1-3cartFR_SITEFrenchEUR39.99,EMKTG,Partner/LOEM,50%,ALL,ALL,ALL,ALL,ALL,N,ECOM_MKT_50PCTOFF,6E4B2B64-D72B-31F7-B75C-8D4591DD2B25,SPARK-9647,1,,,,N360_2013_12MO_PC1-3cartFR_SITEFrenchEUR39.99,_PCCU_ASK,http://buy.norton.com/partneroffer?ctry=LU&lang=FR&selSKU=21276154&tppc=6E4B2B64-D72B-31F7-B75C-8D4591DD2B25&ptype=cart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Live,2012110070,http://buy.norton.com/partneroffer?ctry=FR&lang=FR&selSKU=21276127&tppc=A08E7460-D6FA-E082-8E91-36882647EB0A&ptype=cart,21276127,NIS_2013_12MO_PC,N,1-3,Product,cart,FR_SITE,French,FR,FR,fr,EUR,37.99,NIS_2013_12MO_PC1-3cartFR_SITEFrenchEUR37.99_PCCU_ASK,NIS_2013_12MO_PC1-3cartFR_SITEFrenchEUR37.99,EMKTG,Partner/LOEM,45%,ALL,ALL,ALL,ALL,ALL,N,ECOM_MKT_46PCTOFF,A08E7460-D6FA-E082-8E91-36882647EB0A,SPARK-9647,1,,,,NIS_2013_12MO_PC1-3cartFR_SITEFrenchEUR37.99,_PCCU_ASK,http://buy.norton.com/partneroffer?ctry=FR&lang=FR&selSKU=21276127&tppc=A08E7460-D6FA-E082-8E91-36882647EB0A&ptype=cart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Live,2012110070,http://buy.norton.com/partneroffer?ctry=LU&lang=FR&selSKU=21276127&tppc=A08E7460-D6FA-E082-8E91-36882647EB0A&ptype=cart,21276127,NIS_2013_12MO_PC,N,1-3,Product,cart,FR_SITE,French,FR,LU,fr,EUR,37.99,NIS_2013_12MO_PC1-3cartFR_SITEFrenchEUR37.99_PCCU_ASK,NIS_2013_12MO_PC1-3cartFR_SITEFrenchEUR37.99,EMKTG,Partner/LOEM,45%,ALL,ALL,ALL,ALL,ALL,N,ECOM_MKT_46PCTOFF,A08E7460-D6FA-E082-8E91-36882647EB0A,SPARK-9647,1,,,,NIS_2013_12MO_PC1-3cartFR_SITEFrenchEUR37.99,_PCCU_ASK,http://buy.norton.com/partneroffer?ctry=LU&lang=FR&selSKU=21276127&tppc=A08E7460-D6FA-E082-8E91-36882647EB0A&ptype=cart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Live,2012110071,http://buy.norton.com/partneroffer?ctry=FR&lang=FR&selSKU=21276036&tppc=92368756-E4AE-07D7-0F46-4D6DD2BFA54C&ptype=cart,21276036,NAV_2013_12MO_PC,N,1-3,Product,cart,FR_SITE,French,FR,FR,fr,EUR,34.99,NAV_2013_12MO_PC1-3cartFR_SITEFrenchEUR34.99_PCCU_ASK,NAV_2013_12MO_PC1-3cartFR_SITEFrenchEUR34.99,EMKTG,Partner/LOEM,10%,ALL,ALL,ALL,ALL,ALL,N,ECOM_MKT_13PCTOFF,92368756-E4AE-07D7-0F46-4D6DD2BFA54C,SPARK-9647,1,,,,NAV_2013_12MO_PC1-3cartFR_SITEFrenchEUR34.99,_PCCU_ASK,http://buy.norton.com/partneroffer?ctry=FR&lang=FR&selSKU=21276036&tppc=92368756-E4AE-07D7-0F46-4D6DD2BFA54C&ptype=cart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Live,2012110071,http://buy.norton.com/partneroffer?ctry=LU&lang=FR&selSKU=21276036&tppc=92368756-E4AE-07D7-0F46-4D6DD2BFA54C&ptype=cart,21276036,NAV_2013_12MO_PC,N,1-3,Product,cart,FR_SITE,French,FR,LU,fr,EUR,34.99,NAV_2013_12MO_PC1-3cartFR_SITEFrenchEUR34.99_PCCU_ASK,NAV_2013_12MO_PC1-3cartFR_SITEFrenchEUR34.99,EMKTG,Partner/LOEM,10%,ALL,ALL,ALL,ALL,ALL,N,ECOM_MKT_13PCTOFF,92368756-E4AE-07D7-0F46-4D6DD2BFA54C,SPARK-9647,1,,,,NAV_2013_12MO_PC1-3cartFR_SITEFrenchEUR34.99,_PCCU_ASK,http://buy.norton.com/partneroffer?ctry=LU&lang=FR&selSKU=21276036&tppc=92368756-E4AE-07D7-0F46-4D6DD2BFA54C&ptype=cart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Live,2012110072,http://buy.norton.com/partneroffer?ctry=IT&lang=IT&selSKU=21276152&tppc=6E4B2B64-D72B-31F7-B75C-8D4591DD2B25&ptype=cart,21276152,N360_2013_12MO_PC,N,1-3,Product,cart,IT_SITE,Italian,IT,IT,it,EUR,39.99,N360_2013_12MO_PC1-3cartIT_SITEItalianEUR39.99_PCCU_ASK,N360_2013_12MO_PC1-3cartIT_SITEItalianEUR39.99,EMKTG,Partner/LOEM,50%,ALL,ALL,ALL,ALL,ALL,N,ECOM_MKT_50PCTOFF,6E4B2B64-D72B-31F7-B75C-8D4591DD2B25,SPARK-9647,1,,,,N360_2013_12MO_PC1-3cartIT_SITEItalianEUR39.99,_PCCU_ASK,http://buy.norton.com/partneroffer?ctry=IT&lang=IT&selSKU=21276152&tppc=6E4B2B64-D72B-31F7-B75C-8D4591DD2B25&ptype=cart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Live,2012110073,http://buy.norton.com/partneroffer?ctry=IT&lang=IT&selSKU=21276107&tppc=A08E7460-D6FA-E082-8E91-36882647EB0A&ptype=cart,21276107,NIS_2013_12MO_PC,N,1-3,Product,cart,IT_SITE,Italian,IT,IT,it,EUR,37.99,NIS_2013_12MO_PC1-3cartIT_SITEItalianEUR37.99_PCCU_ASK,NIS_2013_12MO_PC1-3cartIT_SITEItalianEUR37.99,EMKTG,Partner/LOEM,45%,ALL,ALL,ALL,ALL,ALL,N,ECOM_MKT_46PCTOFF,A08E7460-D6FA-E082-8E91-36882647EB0A,SPARK-9647,1,,,,NIS_2013_12MO_PC1-3cartIT_SITEItalianEUR37.99,_PCCU_ASK,http://buy.norton.com/partneroffer?ctry=IT&lang=IT&selSKU=21276107&tppc=A08E7460-D6FA-E082-8E91-36882647EB0A&ptype=cart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Live,2012110074,http://buy.norton.com/partneroffer?ctry=IT&lang=IT&selSKU=21276033&tppc=92368756-E4AE-07D7-0F46-4D6DD2BFA54C&ptype=cart,21276033,NAV_2013_12MO_PC,N,1-3,Product,cart,IT_SITE,Italian,IT,IT,it,EUR,34.99,NAV_2013_12MO_PC1-3cartIT_SITEItalianEUR34.99_PCCU_ASK,NAV_2013_12MO_PC1-3cartIT_SITEItalianEUR34.99,EMKTG,Partner/LOEM,10%,ALL,ALL,ALL,ALL,ALL,N,ECOM_MKT_13PCTOFF,92368756-E4AE-07D7-0F46-4D6DD2BFA54C,SPARK-9647,1,,,,NAV_2013_12MO_PC1-3cartIT_SITEItalianEUR34.99,_PCCU_ASK,http://buy.norton.com/partneroffer?ctry=IT&lang=IT&selSKU=21276033&tppc=92368756-E4AE-07D7-0F46-4D6DD2BFA54C&ptype=cart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Live,2012110075,http://buy.norton.com/partneroffer?ctry=AT&lang=DE&selSKU=21276147&tppc=6E4B2B64-D72B-31F7-B75C-8D4591DD2B25&ptype=cart,21276147,N360_2013_12MO_PC,N,1-3,Product,cart,DE_SITE,German,GE,AT,de,EUR,34.99,N360_2013_12MO_PC1-3cartDE_SITEGermanEUR34.99_PCCU_ASK,N360_2013_12MO_PC1-3cartDE_SITEGermanEUR34.99,EMKTG,Partner/LOEM,50%,ALL,ALL,ALL,ALL,ALL,N,ECOM_MKT_50PCTOFF,6E4B2B64-D72B-31F7-B75C-8D4591DD2B25,SPARK-9647,1,,,,N360_2013_12MO_PC1-3cartDE_SITEGermanEUR34.99,_PCCU_ASK,http://buy.norton.com/partneroffer?ctry=AT&lang=DE&selSKU=21276147&tppc=6E4B2B64-D72B-31F7-B75C-8D4591DD2B25&ptype=cart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Live,2012110075,http://buy.norton.com/partneroffer?ctry=DE&lang=DE&selSKU=21276147&tppc=6E4B2B64-D72B-31F7-B75C-8D4591DD2B25&ptype=cart,21276147,N360_2013_12MO_PC,N,1-3,Product,cart,DE_SITE,German,GE,DE,de,EUR,34.99,N360_2013_12MO_PC1-3cartDE_SITEGermanEUR34.99_PCCU_ASK,N360_2013_12MO_PC1-3cartDE_SITEGermanEUR34.99,EMKTG,Partner/LOEM,50%,ALL,ALL,ALL,ALL,ALL,N,ECOM_MKT_50PCTOFF,6E4B2B64-D72B-31F7-B75C-8D4591DD2B25,SPARK-9647,1,,,,N360_2013_12MO_PC1-3cartDE_SITEGermanEUR34.99,_PCCU_ASK,http://buy.norton.com/partneroffer?ctry=DE&lang=DE&selSKU=21276147&tppc=6E4B2B64-D72B-31F7-B75C-8D4591DD2B25&ptype=cart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Live,2012110076,http://buy.norton.com/partneroffer?ctry=AT&lang=DE&selSKU=21276104&tppc=49BE0F57-DF68-98F1-26E2-4AF9A8DC9302&ptype=cart,21276104,NIS_2013_12MO_PC,N,1-3,Product,cart,DE_SITE,German,GE,AT,de,EUR,31.99,NIS_2013_12MO_PC1-3cartDE_SITEGermanEUR31.99_PCCU_ASK,NIS_2013_12MO_PC1-3cartDE_SITEGermanEUR31.99,EMKTG,Partner/LOEM,45%,ALL,ALL,ALL,ALL,ALL,N,ECOM_MKT_47PCTOFF,49BE0F57-DF68-98F1-26E2-4AF9A8DC9302,SPARK-9647,1,,,,NIS_2013_12MO_PC1-3cartDE_SITEGermanEUR31.99,_PCCU_ASK,http://buy.norton.com/partneroffer?ctry=AT&lang=DE&selSKU=21276104&tppc=49BE0F57-DF68-98F1-26E2-4AF9A8DC9302&ptype=cart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Live,2012110076,http://buy.norton.com/partneroffer?ctry=DE&lang=DE&selSKU=21276104&tppc=49BE0F57-DF68-98F1-26E2-4AF9A8DC9302&ptype=cart,21276104,NIS_2013_12MO_PC,N,1-3,Product,cart,DE_SITE,German,GE,DE,de,EUR,31.99,NIS_2013_12MO_PC1-3cartDE_SITEGermanEUR31.99_PCCU_ASK,NIS_2013_12MO_PC1-3cartDE_SITEGermanEUR31.99,EMKTG,Partner/LOEM,45%,ALL,ALL,ALL,ALL,ALL,N,ECOM_MKT_47PCTOFF,49BE0F57-DF68-98F1-26E2-4AF9A8DC9302,SPARK-9647,1,,,,NIS_2013_12MO_PC1-3cartDE_SITEGermanEUR31.99,_PCCU_ASK,http://buy.norton.com/partneroffer?ctry=DE&lang=DE&selSKU=21276104&tppc=49BE0F57-DF68-98F1-26E2-4AF9A8DC9302&ptype=cart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Live,2012110077,http://buy.norton.com/partneroffer?ctry=AT&lang=DE&selSKU=21276034&tppc=A10161AE-8A7A-5D84-BA32-CD15716AE16E&ptype=cart,21276034,NAV_2013_12MO_PC,N,1-3,Product,cart,DE_SITE,German,GE,AT,de,EUR,29.99,NAV_2013_12MO_PC1-3cartDE_SITEGermanEUR29.99_PCCU_ASK,NAV_2013_12MO_PC1-3cartDE_SITEGermanEUR29.99,EMKTG,Partner/LOEM,25%,ALL,ALL,ALL,ALL,ALL,N,ECOM_MKT_25PCTOFF,A10161AE-8A7A-5D84-BA32-CD15716AE16E,SPARK-9647,1,,,,NAV_2013_12MO_PC1-3cartDE_SITEGermanEUR29.99,_PCCU_ASK,http://buy.norton.com/partneroffer?ctry=AT&lang=DE&selSKU=21276034&tppc=A10161AE-8A7A-5D84-BA32-CD15716AE16E&ptype=cart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
